,word,book_count,book_frequency,show_count,show_frequency
115,set,34.0,0.0012641754973043316,2.0,0.00017057569296375266
116,stood,34.0,0.0012641754973043316,,
117,put,34.0,0.0012641754973043316,10.0,0.0008528784648187633
118,end,34.0,0.0012641754973043316,9.0,0.000767590618336887
119,instant,34.0,0.0012641754973043316,,
120,door,34.0,0.0012641754973043316,64.0,0.005458422174840085
121,works,33.0,0.001226993865030675,3.0,0.000255863539445629
122,take,33.0,0.001226993865030675,16.0,0.0013646055437100213
123,done,33.0,0.001226993865030675,7.0,0.0005970149253731343
124,within,33.0,0.001226993865030675,3.0,0.000255863539445629
125,gutenberg,32.0,0.001189812232757018,,
126,already,32.0,0.001189812232757018,8.0,0.0006823027718550107
127,thing,31.0,0.0011526306004833611,11.0,0.0009381663113006396
128,words,31.0,0.0011526306004833611,15.0,0.001279317697228145
129,street,31.0,0.0011526306004833611,3.0,0.000255863539445629
130,chapter,31.0,0.0011526306004833611,,
131,head,31.0,0.0011526306004833611,39.0,0.003326226012793177
132,cried,31.0,0.0011526306004833611,,
133,passed,31.0,0.0011526306004833611,,
134,certainly,31.0,0.0011526306004833611,2.0,0.00017057569296375266
135,letter,30.0,0.0011154489682097045,2.0,0.00017057569296375266
136,even,30.0,0.0011154489682097045,10.0,0.0008528784648187633
137,small,30.0,0.0011154489682097045,14.0,0.0011940298507462687
138,behind,30.0,0.0011154489682097045,32.0,0.0027292110874200426
139,always,30.0,0.0011154489682097045,8.0,0.0006823027718550107
140,heart,30.0,0.0011154489682097045,1.0,8.528784648187633e-05
141,really,29.0,0.0010782673359360476,15.0,0.001279317697228145
142,clear,29.0,0.0010782673359360476,7.0,0.0005970149253731343
143,together,29.0,0.0010782673359360476,7.0,0.0005970149253731343
144,full,28.0,0.0010410857036623907,11.0,0.0009381663113006396
145,indeed,28.0,0.0010410857036623907,,
146,days,28.0,0.0010410857036623907,2.0,0.00017057569296375266
147,across,28.0,0.0010410857036623907,44.0,0.0037526652452025584
148,whole,28.0,0.0010410857036623907,2.0,0.00017057569296375266
149,though,28.0,0.0010410857036623907,7.0,0.0005970149253731343
150,gave,28.0,0.0010410857036623907,2.0,0.00017057569296375266
151,course,27.0,0.001003904071388734,8.0,0.0006823027718550107
152,path,27.0,0.001003904071388734,1.0,8.528784648187633e-05
153,evening,27.0,0.001003904071388734,3.0,0.000255863539445629
154,look,27.0,0.001003904071388734,46.0,0.003923240938166312
155,electronic,27.0,0.001003904071388734,,
156,front,27.0,0.001003904071388734,18.0,0.001535181236673774
157,point,26.0,0.0009667224391150771,2.0,0.00017057569296375266
158,fear,26.0,0.0009667224391150771,5.0,0.00042643923240938164
159,use,26.0,0.0009667224391150771,5.0,0.00042643923240938164
160,chance,26.0,0.0009667224391150771,2.0,0.00017057569296375266
161,understand,26.0,0.0009667224391150771,3.0,0.000255863539445629
162,brought,26.0,0.0009667224391150771,1.0,8.528784648187633e-05
163,followed,26.0,0.0009667224391150771,1.0,8.528784648187633e-05
164,new,26.0,0.0009667224391150771,11.0,0.0009381663113006396
165,quite,26.0,0.0009667224391150771,9.0,0.000767590618336887
166,poor,26.0,0.0009667224391150771,1.0,8.528784648187633e-05
167,three,26.0,0.0009667224391150771,8.0,0.0006823027718550107
168,went,26.0,0.0009667224391150771,7.0,0.0005970149253731343
169,perhaps,26.0,0.0009667224391150771,3.0,0.000255863539445629
170,country,26.0,0.0009667224391150771,,
171,several,25.0,0.0009295408068414204,3.0,0.000255863539445629
172,sound,25.0,0.0009295408068414204,10.0,0.0008528784648187633
173,able,25.0,0.0009295408068414204,4.0,0.0003411513859275053
174,another,25.0,0.0009295408068414204,32.0,0.0027292110874200426
175,room,25.0,0.0009295408068414204,50.0,0.0042643923240938165
176,rather,25.0,0.0009295408068414204,,
177,brother,25.0,0.0009295408068414204,3.0,0.000255863539445629
